Grip Name,20mm moon
Assessment Date,2026-09-11 13:20:42
Body Weight,65.0,kg

Hand,Critical Force,Max Force,W' (Work Prime),Unit
"Left",18.673802819893275,39.322653329613686,762.5901463956956,"kg"

Hand,Weight,Weight Unit,Timestamp Ms,Relative Ms
"Left",33.15335144738031,"kg",1789125393314,4976
"Left",33.59228338780427,"kg",1789125393326,4988
"Left",34.070101400090564,"kg",1789125393338,5000
"Left",34.5148882445377,"kg",1789125393350,5012
"Left",34.96085788454497,"kg",1789125393362,5024
"Left",35.23829403073471,"kg",1789125393374,5036
"Left",35.38557792169087,"kg",1789125393387,5049
"Left",35.4683743530271,"kg",1789125393399,5061
"Left",35.32385457943377,"kg",1789125393411,5073
"Left",35.15255238276663,"kg",1789125393423,5085
"Left",34.97649251002167,"kg",1789125393435,5097
"Left",34.91273046449443,"kg",1789125393447,5109
"Left",35.06042108986382,"kg",1789125393459,5121
"Left",35.29693561698038,"kg",1789125393472,5134
"Left",35.51967468669784,"kg",1789125393484,5146
"Left",35.685812063893586,"kg",1789125393496,5158
"Left",35.84211594496751,"kg",1789125393508,5170
"Left",36.139407645863365,"kg",1789125393520,5182
"Left",36.48927198211978,"kg",1789125393532,5194
"Left",36.7109298219429,"kg",1789125393545,5207
"Left",36.82839854869439,"kg",1789125393557,5219
"Left",36.763953857378056,"kg",1789125393569,5231
"Left",36.70512890607605,"kg",1789125393581,5243
"Left",36.92343426398125,"kg",1789125393593,5255
"Left",37.195535869663246,"kg",1789125393605,5267
"Left",37.40854143207999,"kg",1789125393618,5280
"Left",37.57894671512136,"kg",1789125393630,5292
"Left",37.672851221266484,"kg",1789125393642,5304
"Left",37.64203311510151,"kg",1789125393654,5316
"Left",37.60523270268512,"kg",1789125393666,5328
"Left",37.64706371605622,"kg",1789125393678,5340
"Left",37.768840714672024,"kg",1789125393690,5352
"Left",37.80763540274526,"kg",1789125393703,5365
"Left",37.72166171299917,"kg",1789125393715,5377
"Left",37.633739423056966,"kg",1789125393727,5389
"Left",37.59281483738353,"kg",1789125393739,5401
"Left",37.66120378709225,"kg",1789125393751,5413
"Left",37.87770160865215,"kg",1789125393763,5425
"Left",38.01928468014289,"kg",1789125393776,5438
"Left",37.950305922716,"kg",1789125393788,5450
"Left",37.68635681079235,"kg",1789125393800,5462
"Left",37.56140762638865,"kg",1789125393812,5474
"Left",37.61153227820323,"kg",1789125393824,5486
"Left",37.77790489064484,"kg",1789125393836,5498
"Left",37.84783507971568,"kg",1789125393849,5511
"Left",37.87665922561396,"kg",1789125393861,5523
"Left",37.92755474340498,"kg",1789125393873,5535
"Left",37.858530829454146,"kg",1789125393885,5547
"Left",37.793132711060174,"kg",1789125393897,5559
